uci,index
h6c6,1740
a7c8,1741
h7e7,1742
d5a8,1743
g7a1,1744
e4b1,1745
h5h1,1746
d1b2,1747
c4g4,1748
h1f3,1749
f6f2,1750
a2e6,1751
h4h7,1752
g7b2,1753
b1b4,1754
h6h3,1755
e3f1,1756
h7h2,1757
h7h1,1758
h1h8,1759
a1g7,1760
f7g8r,1761
f7g8q,1762
a3e3,1763
c3c1,1764
h1a1,1765
h2h5,1766
e3g1,1767
g1b6,1768
a2d2,1769
b6h6,1770
h6h2,1771
a7g7,1772
d7d8r,1773
b5f5,1774
h6e6,1775
c6g6,1776
d2h2,1777
c1c6,1778
g7e6,1779
b5b1,1780
d3c1,1781
b4g4,1782
f2e1q,1783
c5c8,1784
b2b6,1785
d3b2,1786
b4a2,1787
a2b4,1788
c8b6,1789
a6h6,1790
d2d1q,1791
d2d1n,1792
b8g8,1793
a7c5,1794
a5a1,1795
a3a7,1796
a6f1,1797
c2a3,1798
f5b5,1799
h4b4,1800
b4e1,1801
a8h8,1802
g3a3,1803
g2f1b,1804
h2a2,1805
h6f7,1806
h7a7,1807
g4b4,1808
h2g4,1809
a2a1r,1810
d7e8r,1811
d7e8b,1812
d7e8n,1813
h8d4,1814
f3h1,1815
a3f3,1816
g2g1n,1817
b5g5,1818
g6g1,1819
a7h7,1820
h7b1,1821
f2a7,1822
g1a7,1823
f7e8q,1824
f7e8r,1825
g7h8b,1826
a7f2,1827
f7e8n,1828
g2g1r,1829
g5g8,1830
c6h1,1831
h1g3,1832
b7a5,1833
f3a3,1834
a2f2,1835
b7b8b,1836
a3h3,1837
b7b8n,1838
g2g6,1839
g7h8q,1840
b1h7,1841
e1g2,1842
a2a8,1843
c6h6,1844
f7e8b,1845
d7d8b,1846
a2a6,1847
b7c8r,1848
b7a8r,1849
h3a3,1850
b7a8q,1851
d7d8n,1852
g7h8r,1853
h2d2,1854
h1a8,1855
g7g1,1856
f2f1b,1857
a7g1,1858
g2g1b,1859
a1c2,1860
e2d1q,1861
